"Player Details","","","","","","Rushing","","","","","","","","","","","","","","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","SCRM","YDS","TD","1+ %","3+ %","5+ %","10+ %","15+ %","20+ %","30+ %","i5","i5 %","i10","i10 %","i20","i20 %","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","WO","WO/G","FP/G","FP"
"1","James Cook","BUF","RB","17","2025","309","1621","95.4","5.25","12","6","0","0","0","89.3","66.3","42.1","12.6","5.2","2.9","1.6","16","37.2","26","40.6","56","47.9","40","8.1","33","291","7.3","8.82","7.28","17.1","82.5","2","6.9","1","3","0","261.2","15.4","18.0","305.2"
"2","Derrick Henry","BLT","RB","17","2025","307","1595","93.8","5.20","16","4","0","0","0","84.7","59.9","36.5","11.7","6.8","5.5","2.3","27","84.4","40","76.9","63","59.4","19","4.5","15","150","4.6","10.00","7.89","8.8","78.9","0","0.0","0","2","0","234.4","13.8","16.6","282.5"
"3","Jonathan Taylor","IND","RB","17","2025","323","1585","93.2","4.91","18","1","0","0","0","84.8","57.6","36.2","11.1","5.0","2.8","1.5","23","65.7","39","67.2","70","68.6","54","9.9","46","378","9.3","8.22","7.00","22.2","85.2","2","8.0","1","4","1","301.6","17.7","21.4","363.3"
"4","Bijan Robinson","ATL","RB","17","2025","287","1478","86.9","5.15","7","3","0","0","0","85.0","64.8","38.7","12.5","5.6","2.8","1.4","10","43.5","17","42.5","35","49.3","98","18.0","79","820","22.1","10.38","8.37","48.2","80.6","4","21.1","4","13","1","326.3","19.2","22.0","373.8"
"5","De'Von Achane","MIA","RB","16","2025","238","1350","84.4","5.67","8","1","0","0","0","79.4","58.4","39.1","16.8","10.1","5.5","2.5","5","38.5","11","39.3","32","52.5","85","18.7","67","488","15.3","7.28","5.74","30.5","78.8","4","18.2","5","11","0","278.9","17.4","20.2","322.8"
"6","Kyren Williams","LA","RB","17","2025","259","1252","73.6","4.83","10","2","0","0","0","87.6","68.7","42.9","10.0","4.6","2.3","0.8","18","52.9","30","56.6","53","58.9","47","7.9","36","281","6.0","7.81","5.98","16.5","76.6","3","6.5","3","10","0","250.2","14.7","15.6","265.3"
"7","Jahmyr Gibbs","DET","RB","17","2025","243","1223","71.9","5.03","13","2","0","0","0","81.1","56.4","34.2","11.1","5.8","4.1","2.5","10","38.5","22","44.9","52","57.1","93","16.0","77","616","13.5","8.00","6.62","36.2","82.8","5","14.3","4","14","0","312.8","18.4","21.6","367.9"
"8","Christian McCaffrey","SF","RB","17","2025","311","1202","70.7","3.86","10","1","0","0","0","81.4","57.6","33.1","8.7","3.5","1.0","0.3","20","76.9","37","80.4","75","75.0","122","21.3","102","924","21.4","9.06","7.57","54.4","83.6","7","21.2","12","24","1","416.9","24.5","24.5","416.6"
"9","Javonte Williams","DAL","RB","16","2025","252","1201","75.1","4.77","11","1","0","0","0","88.5","62.7","37.7","10.3","5.2","2.4","1.2","20","66.7","28","62.2","54","65.9","47","7.8","35","137","3.0","3.91","2.91","8.6","74.5","2","6.5","5","11","1","248.4","15.5","15.3","244.8"
"10","Saquon Barkley","PHI","RB","16","2025","280","1140","71.3","4.07","7","0","0","0","0","75.7","53.2","35.7","10.0","4.6","1.4","1.1","14","46.7","24","53.3","43","52.4","50","10.9","37","273","8.4","7.38","5.46","17.1","74.0","2","8.0","3","7","1","253.9","15.9","14.6","233.3"
"11","Travis Etienne","JAX","RB","17","2025","260","1107","65.1","4.26","7","0","0","0","0","78.8","56.2","34.2","10.0","3.5","2.7","1.5","12","37.5","26","49.1","54","47.8","47","8.3","36","292","7.3","8.11","6.21","17.2","76.6","6","20.7","5","9","0","250.7","14.7","14.9","253.9"
"12","D'Andre Swift","CHI","RB","16","2025","223","1087","67.9","4.87","9","2","0","0","0","87.9","68.2","42.6","13.5","5.4","2.2","","14","58.3","24","51.1","40","45.5","45","8.4","34","299","8.1","8.79","6.64","18.7","75.6","1","4.2","0","1","0","211.1","13.2","14.4","230.6"
"13","Tony Pollard","TEN","RB","17","2025","242","1082","63.6","4.47","5","3","0","0","0","86.0","62.4","33.9","11.2","4.1","2.5","0.8","4","33.3","12","41.4","19","42.2","41","7.2","33","206","6.4","6.24","5.02","12.1","80.5","0","0.0","0","1","1","196.4","11.6","11.1","188.8"
"14","Rico Dowdle","CAR","RB","17","2025","236","1076","63.3","4.56","6","1","0","0","0","85.6","60.6","32.6","10.2","4.2","2.1","0.8","8","66.7","13","46.4","34","50.0","46","8.9","39","297","9.0","7.62","6.46","17.5","84.8","1","4.2","1","4","1","216.2","12.7","12.8","217.3"
"15","Breece Hall","NYJ","RB","16","2025","243","1065","66.6","4.38","4","2","0","0","0","81.1","60.5","35.8","10.7","7.0","3.3","1.2","4","44.4","10","41.7","24","42.1","41","8.7","36","350","12.8","9.72","8.54","21.9","87.8","1","7.1","2","6","0","205.3","12.8","13.1","209.7"
"16","Kenneth Walker","SEA","RB","17","2025","221","1027","60.4","4.65","5","0","0","0","0","81.0","57.5","32.1","14.9","8.1","4.5","0.9","8","27.6","10","20.8","34","34.3","34","7.1","31","282","6.9","9.10","8.29","16.6","91.2","0","0.0","1","2","1","189.5","11.1","11.3","191.9"
"17","Chase Brown","CIN","RB","17","2025","232","1019","59.9","4.39","6","1","0","0","0","88.4","62.1","35.8","10.3","3.9","2.6","0.9","12","63.2","18","56.3","36","59.0","87","13.6","69","437","10.3","6.33","5.02","25.7","79.3","5","13.9","6","11","1","282.3","16.6","16.6","282.6"
"18","Ashton Jeanty","LV","RB","17","2025","266","975","57.4","3.67","5","1","0","0","0","73.3","54.1","32.3","9.0","1.9","1.1","0.8","10","83.3","16","84.2","34","73.9","69","13.4","55","346","10.4","6.29","5.01","20.4","79.7","5","25.0","3","9","1","269.0","15.8","14.5","246.1"
"19","Jaylen Warren","PIT","RB","16","2025","211","958","59.9","4.54","6","1","0","0","0","85.3","60.7","31.8","10.9","4.7","2.8","1.9","14","53.8","22","52.4","40","55.6","44","8.3","40","333","9.7","8.33","7.57","20.8","90.9","2","8.0","4","5","0","207.0","12.9","13.6","217.1"
"20","Josh Jacobs","GB","RB","15","2025","234","929","61.9","3.97","13","3","0","0","0","82.1","56.4","32.5","9.8","4.3","1.3","0.4","20","83.3","30","73.2","52","62.7","43","9.4","36","282","7.7","7.83","6.56","18.8","83.7","1","3.8","2","6","0","227.9","15.2","15.9","239.1"
"21","TreVeyon Henderson","NE","RB","17","2025","180","911","53.6","5.06","9","1","0","0","0","82.8","55.6","37.2","10.0","5.6","3.3","2.2","8","29.6","21","37.5","36","38.7","41","8.2","35","221","5.0","6.31","5.39","13.0","85.4","1","3.2","3","4","0","183.1","10.8","12.2","207.2"
"22","Quinshon Judkins","CLV","RB","14","2025","230","827","59.1","3.60","7","0","0","0","0","77.8","48.7","25.2","7.8","3.0","1.7","1.7","11","61.1","18","66.7","32","65.3","34","7.3","26","171","6.7","6.58","5.03","12.2","76.5","0","0.0","0","1","0","191.4","13.7","12.1","169.8"
"23","Jacory Croskey-Merritt","WAS","RB","17","2025","175","805","47.4","4.60","8","3","0","0","0","81.7","58.3","37.1","12.0","4.0","1.7","1.1","12","35.3","20","37.7","31","34.1","12","2.6","9","68","2.0","7.56","5.67","4.0","75.0","0","0.0","0","1","0","131.0","7.7","8.4","142.3"
"24","Kyle Monangai","CHI","RB","17","2025","169","783","46.1","4.63","5","0","0","0","0","85.8","63.9","42.6","8.9","4.1","1.8","1.2","10","38.5","19","36.5","36","36.4","26","4.5","18","164","4.1","9.11","6.31","9.6","69.2","0","0.0","1","3","0","154.7","9.1","8.6","146.7"
"25","J.K. Dobbins","DEN","RB","10","2025","153","772","77.2","5.05","4","0","0","0","0","85.6","58.2","41.2","13.7","7.8","3.3","1.3","7","63.6","11","64.7","20","54.1","14","4.0","11","37","1.7","3.36","2.64","3.7","78.6","0","0.0","0","0","0","112.9","11.3","11.6","115.9"
"26","Jordan Mason","MIN","RB","16","2025","159","758","47.4","4.77","6","2","0","0","0","82.4","59.7","40.3","13.8","5.7","2.5","","7","53.8","9","42.9","29","53.7","16","3.4","14","51","1.6","3.64","3.19","3.2","87.5","0","0.0","0","1","1","127.3","8.0","8.1","129.9"
"27","Blake Corum","LA","RB","17","2025","145","746","43.9","5.14","6","0","0","0","0","86.9","60.7","41.4","15.9","6.9","3.4","1.4","13","38.2","16","30.2","27","30.0","14","2.3","8","36","0.8","4.50","2.57","2.1","57.1","0","0.0","0","1","0","115.8","6.8","7.2","122.2"
"28","Tyrone Tracy","NYG","RB","15","2025","176","740","49.3","4.20","2","0","0","0","0","86.4","59.7","33.5","10.8","4.0","1.7","0.6","2","8.0","6","13.6","21","25.0","44","9.5","36","288","8.5","8.00","6.55","19.2","81.8","2","11.1","1","5","1","173.5","11.6","10.8","161.8"
"29","Zach Charbonnet","SEA","RB","16","2025","184","730","45.6","3.97","12","0","0","0","0","77.7","55.4","35.3","6.5","4.9","2.7","0.5","18","66.7","31","67.4","51","53.7","24","5.2","20","144","3.8","7.20","6.00","9.0","83.3","0","0.0","1","3","0","172.0","10.7","11.3","181.4"
"30","David Montgomery","DET","RB","17","2025","158","716","42.1","4.53","8","2","0","0","0","84.8","54.4","30.4","9.5","3.8","1.9","1.9","16","61.5","24","49.0","34","37.4","28","4.8","24","192","4.2","8.00","6.86","11.3","85.7","0","0.0","0","2","0","149.7","8.8","9.9","167.9"
"31","Woody Marks","HST","RB","16","2025","196","703","43.9","3.59","2","1","0","0","0","77.0","53.1","32.7","7.7","3.6","1.0","","9","37.5","15","42.9","33","44.0","36","6.6","24","208","5.5","8.67","5.78","13.0","66.7","3","13.0","3","8","0","184.2","11.5","9.1","145.1"
"32","Kimani Vidal","LAC","RB","13","2025","155","643","49.5","4.15","3","1","0","0","0","74.8","53.5","34.8","8.4","3.9","2.6","1.3","7","50.0","11","44.0","26","44.8","21","4.9","16","136","4.8","8.50","6.48","10.5","76.2","1","5.3","3","5","0","133.4","10.3","9.1","117.9"
"33","Kareem Hunt","KC","RB","17","2025","163","611","35.9","3.75","8","2","0","0","0","86.5","57.1","31.3","6.1","1.2","0.6","0.6","15","71.4","21","50.0","38","43.2","23","3.9","18","143","3.6","7.94","6.22","8.4","78.3","1","4.3","1","5","0","150.6","8.9","8.6","146.4"
"34","Rhamondre Stevenson","NE","RB","14","2025","130","603","43.1","4.64","7","2","0","0","0","77.7","57.7","33.1","11.5","6.9","5.4","1.5","11","50.0","16","36.4","26","35.1","37","9.1","32","345","9.5","10.78","9.32","24.6","86.5","2","7.7","0","5","1","144.9","10.3","13.0","181.8"
"35","Bucky Irving","TB","RB","10","2025","173","588","58.8","3.40","1","1","0","0","0","78.6","56.1","31.2","6.4","2.3","0.6","0.6","0","0.0","6","40.0","18","45.0","35","10.8","30","277","12.6","9.23","7.91","27.7","85.7","3","18.8","1","4","0","155.3","15.5","14.0","139.5"
"36","Rachaad White","TB","RB","17","2025","132","572","33.6","4.33","4","0","0","0","0","88.6","60.6","38.6","9.8","3.0","1.5","0.8","8","40.0","9","30.0","18","26.1","42","7.5","40","218","5.8","5.45","5.19","12.8","95.2","0","0.0","1","10","0","150.4","8.8","8.4","143.0"
"37","Aaron Jones","MIN","RB","12","2025","132","548","45.7","4.15","2","0","0","0","0","86.4","60.6","37.1","9.1","3.8","0.8","0.8","3","42.9","6","42.9","14","36.8","37","12.1","28","199","10.8","7.11","5.38","16.6","75.7","1","8.3","0","5","2","135.5","11.3","10.0","119.7"
"38","Omarion Hampton","LAC","RB","9","2025","124","545","60.6","4.40","4","0","0","0","0","75.8","60.5","34.7","11.3","6.5","2.4","0.8","8","80.0","15","83.3","26","70.3","34","11.4","32","192","8.9","6.00","5.65","21.3","94.1","1","7.7","1","2","1","135.1","15.0","15.1","135.7"
"39","RJ Harvey","DEN","RB","17","2025","146","540","31.8","3.70","7","1","0","0","0","78.8","50.7","29.5","5.5","2.7","2.1","2.1","9","45.0","14","40.0","28","36.8","58","9.5","47","356","9.1","7.57","6.14","20.9","81.0","5","20.0","6","11","0","190.4","11.2","12.2","207.6"
"40","Kenneth Gainwell","PIT","RB","17","2025","114","537","31.6","4.71","5","1","0","0","0","78.9","54.4","38.6","13.2","5.3","1.8","1.8","9","31.0","16","34.8","23","28.8","82","14.9","73","486","13.4","6.66","5.93","28.6","89.0","3","11.5","5","16","1","210.0","12.4","13.1","222.3"
"41","Tyler Allgeier","ATL","RB","17","2025","143","514","30.2","3.59","8","0","0","0","0","79.0","51.7","32.9","9.8","3.5","0.7","","10","43.5","19","47.5","32","45.1","16","2.9","14","96","2.6","6.86","6.00","5.6","87.5","0","0.0","0","1","0","122.1","7.2","7.2","123.0"
"42","Chuba Hubbard","CAR","RB","15","2025","134","511","34.1","3.81","1","1","0","0","0","88.1","65.7","36.6","6.0","","","","1","10.0","7","29.2","18","32.1","38","8.3","30","223","7.7","7.43","5.87","14.9","78.9","3","15.8","4","6","0","142.2","9.5","8.4","126.4"
"43","Nick Chubb","HST","RB","15","2025","122","506","33.7","4.15","3","0","0","0","0","84.4","62.3","32.0","7.4","3.3","2.5","0.8","6","33.3","6","22.2","13","21.0","20","3.8","13","67","1.9","5.15","3.35","4.5","65.0","0","0.0","0","2","0","102.2","6.8","5.9","88.3"
"44","Chris Rodriguez","WAS","RB","13","2025","112","500","38.5","4.46","6","0","0","0","0","86.6","59.8","34.8","11.6","3.6","1.8","0.9","14","42.4","22","45.8","33","42.9","4","1.1","3","30","1.2","10.00","7.50","2.3","75.0","0","0.0","0","1","0","90.0","6.9","7.1","92.0"
"45","Emanuel Wilson","GB","RB","17","2025","125","496","29.2","3.97","3","0","0","0","0","88.8","67.2","36.8","9.6","0.8","","","4","14.8","8","17.8","24","25.5","17","3.5","15","99","2.6","6.60","5.82","5.8","88.2","0","0.0","1","2","1","108.7","6.4","5.6","94.5"
"46","Alvin Kamara","NO","RB","11","2025","131","471","42.8","3.60","1","1","0","0","0","85.5","58.0","29.8","7.6","3.1","","","2","22.2","6","27.3","15","33.3","39","10.1","33","186","7.6","5.64","4.77","16.9","84.6","0","0.0","2","5","1","138.9","12.6","9.3","102.7"
"47","Isiah Pacheco","KC","RB","13","2025","118","462","35.5","3.92","1","0","0","0","0","90.7","65.3","35.6","8.5","0.8","","","0","0.0","7","22.6","20","29.9","26","6.1","19","101","3.5","5.32","3.88","7.8","73.1","1","4.5","2","4","0","116.7","9.0","6.7","87.3"
"48","Devin Singletary","NYG","RB","17","2025","119","437","25.7","3.67","5","0","0","0","0","85.7","58.8","30.3","5.0","1.7","1.7","","10","33.3","17","33.3","22","22.7","19","3.6","18","151","4.1","8.39","7.95","8.9","94.7","0","0.0","1","2","0","107.0","6.3","6.4","108.8"
"49","Cam Skattebo","NYG","RB","8","2025","101","410","51.3","4.06","5","1","0","0","0","83.2","59.4","32.7","9.9","4.0","1.0","","9","69.2","12","57.1","23","52.3","30","11.8","24","207","11.7","8.63","6.90","25.9","80.0","2","18.2","1","4","0","116.9","14.6","16.1","128.7"
"50","Brian Robinson","SF","RB","17","2025","92","400","23.5","4.35","2","0","0","0","0","85.9","63.0","38.0","10.9","4.3","","","2","7.7","4","8.7","13","13.0","12","2.1","8","25","0.6","3.13","2.08","1.5","66.7","0","0.0","1","4","0","77.3","4.5","3.7","62.5"
"51","Samaje Perine","CIN","RB","15","2025","84","382","25.5","4.55","3","3","0","0","0","90.5","65.5","39.3","10.7","2.4","2.4","1.2","4","21.1","8","25.0","16","26.2","20","3.6","17","87","2.3","5.12","4.35","5.8","85.0","0","0.0","0","1","0","85.3","5.7","5.3","79.9"
"52","Tank Bigsby","PHI, JAX","RB","16","2025","63","356","22.3","5.65","2","0","0","0","0","87.3","68.3","44.4","20.6","7.9","3.2","","6","24.0","9","23.1","18","21.2","4","0.8","3","32","0.9","10.67","8.00","2.0","75.0","0","0.0","0","1","0","53.1","3.3","3.4","53.8"
"53","Keaton Mitchell","BLT","RB","13","2025","59","341","26.2","5.78","1","1","0","0","0","88.1","61.0","33.9","16.9","10.2","6.8","1.7","0","0.0","2","4.3","14","15.2","12","3.8","9","63","2.7","7.00","5.25","4.8","75.0","0","0.0","0","0","0","58.7","4.5","4.3","55.4"
"54","Michael Carter","ARZ","RB","13","2025","92","333","25.6","3.62","1","0","0","0","0","80.4","56.5","31.5","5.4","2.2","2.2","","3","25.0","4","17.4","8","24.2","43","8.1","33","267","7.5","8.09","6.21","20.5","76.7","0","0.0","2","6","0","120.5","9.3","7.6","99.0"
"55","Sean Tucker","TB","RB","17","2025","86","320","18.8","3.72","7","1","0","0","0","76.7","48.8","26.7","8.1","3.5","1.2","1.2","11","55.0","14","46.7","21","30.4","11","2.0","8","34","0.9","4.25","3.09","2.0","72.7","1","3.8","1","3","0","78.9","4.6","5.4","91.4"
"56","Emari Demercado","ARZ","RB","13","2025","44","312","24.0","7.09","0","1","0","0","0","86.4","52.3","40.9","20.5","11.4","4.5","4.5","0","0.0","4","13.3","5","11.4","19","4.0","13","101","3.2","7.77","5.32","7.8","68.4","1","4.5","3","4","0","57.2","4.4","4.6","59.3"
"57","Bhayshul Tuten","JAX","RB","15","2025","83","307","20.5","3.70","5","1","0","0","0","85.5","60.2","33.7","6.0","1.2","","","7","25.0","8","16.7","25","23.6","13","2.7","10","79","2.3","7.90","6.08","5.3","76.9","2","7.7","1","2","0","83.0","5.5","6.0","89.6"
"58","Jaylen Wright","MIA","RB","10","2025","70","288","28.8","4.11","2","2","0","0","0","82.9","62.9","40.0","8.6","2.9","1.4","1.4","4","33.3","6","26.1","12","24.0","9","3.6","5","44","2.4","8.80","4.89","4.4","55.6","0","0.0","0","0","0","57.9","5.8","4.9","49.2"
"59","Tyjae Spears","TEN","RB","13","2025","72","283","21.8","3.93","2","0","0","0","0","80.6","52.8","27.8","8.3","4.2","2.8","1.4","2","28.6","5","23.8","10","29.4","50","11.2","45","264","10.0","5.87","5.28","20.3","90.0","0","0.0","3","7","0","123.6","9.5","8.6","111.7"
"60","Ray Davis","BUF","RB","17","2025","58","275","16.2","4.74","0","0","0","0","0","82.8","65.5","36.2","15.5","5.2","1.7","","2","4.7","3","4.7","7","6.0","13","2.6","10","86","2.2","8.60","6.62","5.1","76.9","2","6.9","2","4","0","56.9","3.3","3.4","58.1"
"61","Bam Knight","ARZ","RB","12","2025","82","269","22.4","3.28","4","1","0","0","0","73.2","47.6","30.5","6.1","2.4","","","7","41.2","13","43.3","16","38.1","30","6.2","22","160","4.8","7.27","5.33","13.3","73.3","1","4.8","1","6","0","103.2","8.6","7.8","93.9"
"62","Malik Davis","DAL","RB","10","2025","52","250","25.0","4.81","2","0","0","0","0","94.2","53.8","32.7","7.7","7.7","5.8","1.9","2","9.5","4","12.9","8","14.0","5","1.4","2","16","0.5","8.00","3.20","1.6","40.0","0","0.0","0","0","0","39.8","4.0","4.1","40.6"
"63","Isaiah Davis","NYJ","RB","16","2025","43","236","14.8","5.49","1","0","0","0","0","88.4","58.1","39.5","14.0","9.3","4.7","2.3","0","0.0","1","4.2","9","15.8","27","5.7","21","186","6.8","8.86","6.89","11.6","77.8","0","0.0","0","1","0","69.6","4.3","4.5","71.2"
"64","Jeremy McNichols","WAS","RB","17","2025","44","221","13.0","5.02","1","1","0","0","0","84.1","59.1","34.1","11.4","6.8","2.3","2.3","1","2.9","3","5.7","5","5.5","31","6.6","25","196","5.9","7.84","6.32","11.5","80.6","0","0.0","0","2","0","73.4","4.3","4.3","73.7"
"65","Devin Neal","NO","RB","9","2025","57","206","22.9","3.61","2","0","0","0","0","84.2","61.4","24.6","5.3","3.5","1.8","","2","20.0","2","10.0","5","13.9","19","6.0","17","104","5.0","6.12","5.47","11.6","89.5","0","0.0","0","1","0","61.2","6.8","6.7","60.0"
"66","Ty Johnson","BUF","RB","17","2025","50","200","11.8","4.00","3","0","0","0","0","82.0","56.0","36.0","4.0","4.0","2.0","","6","14.0","11","17.2","19","16.2","31","6.3","24","263","6.6","10.96","8.48","15.5","77.4","2","6.9","1","4","1","90.0","5.3","5.9","100.3"
"67","Ollie Gordon","MIA","RB","17","2025","70","199","11.7","2.84","3","0","0","0","0","71.4","47.1","24.3","7.1","2.9","1.4","","6","37.5","12","37.5","19","27.1","9","1.9","7","32","1.0","4.57","3.56","1.9","77.8","1","4.3","0","2","0","65.6","3.9","3.2","54.1"
"68","Audric Estime","NO","RB","6","2025","46","198","33.0","4.30","1","0","0","0","0","84.8","58.7","34.8","4.3","2.2","2.2","2.2","3","33.3","5","29.4","6","21.4","13","6.7","12","103","6.3","8.58","7.92","17.2","92.3","0","0.0","0","0","0","46.9","7.8","8.0","48.1"
"69","Kendre Miller","NO","RB","7","2025","47","193","27.6","4.11","1","0","0","0","0","85.1","55.3","34.0","10.6","2.1","","","0","0.0","2","25.0","5","20.0","5","2.1","5","30","2.0","6.00","6.00","4.3","100.0","0","0.0","0","0","0","34.7","5.0","4.8","33.3"
"70","Jawhar Jordan","HST","RB","4","2025","43","193","48.3","4.49","0","0","0","0","0","76.7","48.8","30.2","16.3","2.3","2.3","2.3","1","16.7","2","25.0","5","27.8","7","5.6","7","34","3.8","4.86","4.86","8.5","100.0","0","0.0","0","0","0","35.7","8.9","7.4","29.7"
"71","Jaleel McLaughlin","DEN","RB","8","2025","37","187","23.4","5.05","1","0","0","0","0","89.2","73.0","43.2","13.5","5.4","","","1","11.1","2","10.5","5","12.5","5","1.7","4","27","1.4","6.75","5.40","3.4","80.0","0","0.0","0","0","0","29.8","3.7","3.9","31.4"
